시도교육청코드,시도교육청명,행정구역명,학원교습소명,학원지정번호,학원명,개설일자,등록일자,등록상태명,휴원시작일자,휴원종료일자,정원합계,일시수용능력인원합계,분야명,교습계열명,교습과정목록명,교습과정명,인당수강료내용,수강료공개여부,기숙사학원여부,도로명우편번호,도로명주소,도로명상세주소,수정일
B10,서울특별시교육청,강서구,교습소,3000031141,뉴브리즈음악교습소,20180222,20180222,개원,,,30,5,예능(대),예능(중),피아노1(입시),음악,피아노1(입시):150000/ 피아노2(입시):150000/ 피아노3(입시):160000/ 피아노4(입시):170000/ 피아노5(입시):180000/ 피아노6(입시):300000,Y,N,07808,서울특별시 강서구 공항대로 140,/ 마곡엠밸리12단지판매시설2동(1201동)111호일부 (마곡동),20230226
B10,서울특별시교육청,강서구,교습소,12833,뉴소리샘피아노음악교습소,20060223,20060223,개원,,,20,7,예능(대),예능(중),피아노(바이엘),음악,피아노(바이엘):130000/ 피아노(체르니100):140000/ 피아노(체르니30):150000/ 피아노(체르니40입시):160000,Y,N,157866,서울특별시 강서구 초록마을로7길 19,1층 일부 (화곡동),20230226
B10,서울특별시교육청,강서구,교습소,8216,뉴예은피아노교습소,20050202,20050202,개원,,,20,5,예능(대),예능(중),피아노(초급),음악,피아노(초급):140000/ 피아노(초급):130000/ 피아노(중급):150000/ 피아노(고급):165000,N,N,157812,서울특별시 강서구 공항대로8길 49,/ 1층 102호 (공항동/ 에덴맨션),20230226
B10,서울특별시교육청,강서구,교습소,2000009429,뉴이화음악교습소,20000821,20000821,개원,,,25,5,예능(대),예능(중),피아노일반1,음악,피아노일반1:100000/ 피아노일반2:110000/ 피아노입시1:120000/ 피아노+바이올린/피아노+플룻:130000/ 피아노+플룻:130000,N,,157806,서울특별시 강서구 강서로 532,제상가동 207호 (가양동),20230226
B10,서울특별시교육청,강서구,교습소,2000007711,뉴현대음악교습소,20000412,20000412,개원,,,20,5,예능(대),예능(중),피아노일반,음악,,N,N,157864,서울특별시 강서구 양천로75길 57,현대A상가동 302호 (염창동),20230226
B10,서울특별시교육청,강서구,교습소,19851,능률주니어랩화곡6영어교습소,20080304,20080304,개원,,,35,8,입시.검정 및 보습,보통교과,초등A,보습,초등A:130000/ 초등B:140000/ 초등C:150000/ 초등D:160000/ 중등A:200000/ 중등B:210000/ 중등C:220000,N,,157884,서울특별시 강서구 월정로 182,202호 203호 (화곡동),20230226
B10,서울특별시교육청,강서구,교습소,2000007692,다니엘피아노교습소,19931211,19931211,개원,,,20,5,예능(대),예능(중),피아노(초급),음악,피아노(초급):130000/ 피아노(중급):140000/ 피아노(고급):150000/ 피아노 고급입시 초/중:150000,Y,N,157833,서울특별시 강서구 강서로47라길 41,2층 (내발산동),20230226
B10,서울특별시교육청,강서구,교습소,2000009091,다빈치스쿨미술교습소,19990527,19990527,개원,,,42,9,예능(대),예능(중),초등미술1,예능(중),초등미술1:90000/ 초등미술2:110000/ 초등미술3:110000/ 초등미술4:140000/ 중등미술1(입시):120000/ 중등미술2(입시):150000,Y,N,157798,서울특별시 강서구 양천로69길 58,동아아파트 상가 208호 (염창동),20230312
B10,서울특별시교육청,강서구,교습소,21276,다빈치화실미술교습소,20080715,20080715,개원,,,56,8,예능(대),예능(중),미술초등1,미술,미술초등1:100000/ 미술초등2:130000/ 미술초등3:160000/ 미술입시1:110000/ 미술입시2:140000/ 미술입시3:90000/ 미술입시4:180000,Y,N,157864,서울특별시 강서구 양천로67길 32,신동아(아) 상가동 203호 (염창동),20230226
B10,서울특별시교육청,강서구,교습소,6317,다예피아노교습소,20040902,20040902,개원,,,24,5,예능(대),예능(중),피아노일반초,음악,피아노일반초:70000/ 피아노일반초:80000/ 피아노일반중:90000/ 피아노일반중:80000/ 피아노일반고:95000/ 피아노일반고:85000/ 피아노일반고:105000/ 피아노일반고:95000,N,,157894,서울특별시 강서구 곰달래로49길 136 ,(화곡동),20230226
