시도교육청코드,시도교육청명,행정구역명,학원교습소명,학원지정번호,학원명,개설일자,등록일자,등록상태명,휴원시작일자,휴원종료일자,정원합계,일시수용능력인원합계,분야명,교습계열명,교습과정목록명,교습과정명,인당수강료내용,수강료공개여부,기숙사학원여부,도로명우편번호,도로명주소,도로명상세주소,수정일
B10,서울특별시교육청,강서구,교습소,3000014861,봄피아노음악교습소,20120723,20120723,개원,,,45,5,예능(대),예능(중),피아노2,음악,,Y,N,157280,서울특별시 강서구 공항대로42길 61,/ 2층 (내발산동/동서빌딩),20230226
B10,서울특별시교육청,강서구,교습소,3000040978,봉쥬르아트미술교습소,20220304,20220304,개원,,,72,9,예능(대),예능(중),,미술,,Y,N,07808,서울특별시 강서구 공항대로 124,/ 1105-116호 (마곡동/ 마곡엠밸리11단지 업무시설동),20230226
B10,서울특별시교육청,강서구,교습소,3000040479,브레인맥스영어교습소,20211227,20211227,개원,,,27,9,국제화,외국어,초등영어,실용외국어(유아/초·중·고),초등영어:250000/ 중등영어:300000/ 고등영어:350000,Y,N,07681,서울특별시 강서구 우장산로2길 45,/ 2층 일부 (내발산동/ 연무빌딩),20230226
B10,서울특별시교육청,강서구,교습소,3000027317,브리즈음악교습소,20161025,20161025,개원,,,42,7,예능(대),예능(중),피아노1(입시),음악,피아노1(입시):150000/ 피아노2(입시:150000/ 피아노3(입시:160000/ 피아노4(입시:170000/ 피아노5(입시:180000/ 피아노6(입시:300000,Y,N,07808,서울특별시 강서구 공항대로 140,/ 마곡엠밸리12단지 판매시설2동(1201동) 111호의일부 (마곡동),20230226
B10,서울특별시교육청,강서구,교습소,3000032208,블라썸뮤엠영어교습소,20180716,20180716,개원,,,36,4,입시.검정 및 보습,보통교과,영어A(초등),보습,영어A(초등):195000/ 영어B(초등):210000/ 영어C(초등):220000/ 영어D(초중등):230000/ 영어E(초중등):240000/ 영어F(초중등):250000/ 영어EX(초중등):260000/ 영어V(초중등):40000/ 영어S(초중등):80000,Y,N,07542,서울특별시 강서구 양천로71가길 22,/ 상가동 105호 (염창동/ 휴먼빌아파트),20230226
B10,서울특별시교육청,강서구,교습소,3000036719,블루라벨수학교습소,20200414,20200414,개원,,,10,5,입시.검정 및 보습,보통교과,초등수학,보습,초등수학:250000/ 중등수학:350000,Y,N,07537,서울특별시 강서구 양천로73길 62,/ 1층 일부 (염창동),20230226
B10,서울특별시교육청,강서구,교습소,3000034979,비끄아트강서마곡점미술교습소,20190806,20190806,개원,,,18,9,예능(대),예능(중),,미술,,Y,N,07798,서울특별시 강서구 마곡서로 133,/ 713동204호 (마곡동/ 마곡엠밸리7단지),20230305
B10,서울특별시교육청,강서구,교습소,3000037672,비바체음악교습소,20201015,20201015,개원,,,48,7,예능(대),예능(중),,음악,,Y,N,07633,서울특별시 강서구 강서로47길 86,/ 3층 일부 (내발산동),20230226
B10,서울특별시교육청,강서구,교습소,28829,비바체피아노교습소,20100519,20100519,개원,,,20,5,예능(대),예능(중),바이엘,음악,바이엘:120000/ 체르니100:130000/ 체르니30:140000/ 체르니40:150000,Y,N,157880,서울특별시 강서구 강서로12길 31,1층 일부 (화곡동),20230226
B10,서울특별시교육청,강서구,교습소,3000042431,비법수학교습소,20221017,20221017,개원,,,56,7,입시.검정 및 보습,보통교과,수학(초1~2),보습,수학(초1~2):160000/ 수학(초3~4):170000/ 수학(초5~6):210000/ 수학(중1~2):220000/ 수학(중3):230000/ 수학(고1):260000/ 수학(고2):270000/ 수학(고3):280000,Y,N,07746,서울특별시 강서구 곰달래로31다길 8,/ 1층 일부 (화곡동),20230226
B10,서울특별시교육청,강서구,교습소,3000031568,비상잉글리시아이등촌영어교습소,20180410,20180410,개원,,,30,6,입시.검정 및 보습,보통교과,영어phonics,보습,,Y,N,07587,서울특별시 강서구 공항대로41길 66,/ 3층 325/326호 (등촌동/ 세신등촌종합상가),20230226
B10,서울특별시교육청,강서구,교습소,29993,비상잉글리시아이방화점영어교습소,20100917,20100917,개원,,,56,7,입시.검정 및 보습,보통교과,초등(Phonics1),보습,초등(Phonics1):130000/ 초등(Phonics2):170000/ 초등(Joy1):190000/ 초등(Joy2):195000/ 초등(Wise):210000/ 초등(Pride):210000/ 초등(Prime):225000/ 중등과정:240000,Y,N,07595,서울특별시 강서구 방화대로34길 92,/ 3층일부 (방화동/ 불해빌딩),20230226
B10,서울특별시교육청,강서구,교습소,3000020469,비상잉글리시아이영어교습소,20140627,20140627,개원,,,72,9,입시.검정 및 보습,보통교과,초등영어(1),보습,초등영어(1):150000/ 초등영어(2):160000/ 초등영어(3):170000/ 초등영어(4):180000/ 초등영어(5):190000/ 중등영어(1):200000/ 중등영어(2):210000/ 중등영어(3):230000/ 중등영어(4):250000,Y,N,07635,서울특별시 강서구 수명로 76,/ 서울메디스테이트빌딩 701호 일부 (내발산동),20230226
B10,서울특별시교육청,강서구,교습소,3000016527,비상잉글리시아이화곡신곡초점영어교습소,20130228,20130228,개원,,,63,9,입시.검정 및 보습,보통교과,초등Phonics,보습,초등Phonics:150000/ 초등Basic:170000/ 초등Prime:180000/ 초등Advanced:180000/ 중등영어(중1):200000/ 중등영어(중2):210000/ 중등영어(중3):210000,Y,N,157894,서울특별시 강서구 등촌로13자길 74,/ 태영방송인아파트 상가동 203호 (화곡동/태영방송인아파트),20230226
B10,서울특별시교육청,강서구,교습소,3000032297,비에스영어교습소,20180726,20180726,개원,,,12,3,입시.검정 및 보습,보통교과,초등 A,보습,,Y,N,07680,서울특별시 강서구 강서로 310,/ 2층 일부 (내발산동),20230226
B10,서울특별시교육청,강서구,교습소,3000036940,비키영어교습소,20200528,20200528,개원,,,18,7,국제화,외국어,,실용외국어(유아/초·중·고),초등영어회화:180000/ 초등영어회화:180000/ 초등영어회화:180000/ 중등영어회화:240000,Y,N,07703,서울특별시 강서구 화곡로13길 107,/ 203호 (화곡동/ 화곡푸르지오 상가씨동),20230226
B10,서울특별시교육청,강서구,교습소,2000008994,비파피아노교습소,19871015,19871015,개원,,,3,3,예능(대),예능(중),음악,음악,음악:10000,N,N,07727,서울특별시 강서구 화곡로 176,/ 1층  (화곡동),20230226
B10,서울특별시교육청,강서구,교습소,3000032524,빅토리아영어교습소,20180831,20180831,개원,,,9,3,입시.검정 및 보습,보통교과,초등영어,보습,초등영어:280000/ 중등영어:340000/ 고등영어:400000,Y,N,07639,서울특별시 강서구 강서로45길 42,/ 1층 일부 (내발산동/ 미래빌딩),20230226
B10,서울특별시교육청,강서구,교습소,3000035202,빈바이올린첼로음악교습소,20190911,20190911,개원,,,18,6,예능(대),예능(중),일반중급1,음악,일반중급1:140000/ 일반중급2:140000/ 입시(초중고):200000,Y,N,07510,서울특별시 강서구 금낭화로 145,/ 201호 (방화동/ 에어뷰21-1오피스텔),20230226
B10,서울특별시교육청,강서구,교습소,3000026333,빈스바이올린교습소,20160614,20160614,개원,,,9,9,예능(대),예능(중),,음악,,Y,N,07540,서울특별시 강서구 양천로 691-3,/ 2층 일부 (염창동),20230226
B10,서울특별시교육청,강서구,교습소,3000038594,빈클래식음악교습소,20210311,20210311,개원,,,20,5,예능(대),예능(중),,음악,,Y,N,07807,서울특별시 강서구 마곡중앙1로 20,/ 211호 (마곡동/ 마곡 M시그니처),20230226
B10,서울특별시교육청,강서구,교습소,3000038453,빌드업영어교습소,20210217,20210217,개원,,,40,5,입시.검정 및 보습,보통교과,영어(초저),보습,영어(초저):180000/ 영어(초저):140000/ 영어(초고):200000/ 영어(초고):180000/ 엉어(중1):210000/ 영어(중1):200000/ 영어(중2/3):230000/ 영어(중2/3):220000,Y,N,07807,서울특별시 강서구 마곡중앙1로 20,/ 309호 (마곡동/ 마곡 M시그니처),20230226
B10,서울특별시교육청,강서구,교습소,3000023928,빛나는음악교습소,20150805,20150805,개원,,,30,5,예능(대),예능(중),피아노,음악,피아노:120000/ 파아노:130000/ 파아노:140000/ 피아노:105000/ 파아노:115000/ 파아노:125000,Y,N,157717,서울특별시 강서구 양천로 637,/ 상가동 205호 (염창동/ 한마음삼성아파트),20230226
B10,서울특별시교육청,강서구,교습소,3000023435,뿌리컴퓨터교습소,20150615,20150612,개원,,,36,9,기타(대),기타(중),,컴퓨터(소),컴퓨터일반자격증(초등):200000/ 컴퓨터일반자격증(중등):200000/ 컴퓨터일반자격증(고등):200000/ 프로그램(초중고):200000/ 고등반:90000/ 고등반:170000,Y,N,157829,서울특별시 강서구 강서로47길 30,/ 3층 일부 (내발산동/ 지산빌딩),20230226
B10,서울특별시교육청,강서구,교습소,3000035817,쁘아쁘아아트스튜디오미술교습소,20191213,20191213,개원,,,10,5,예능(대),예능(중),미술A,미술,미술A:100000/ 미술B:120000,Y,N,07798,서울특별시 강서구 마곡서로 101,/ 144호 일부 (마곡동/ 동익 드 미라벨 복합빌딩),20230226
B10,서울특별시교육청,강서구,교습소,2000008104,사과나무미술교습소,19991105,19991105,개원,,,35,7,예능(대),예능(중),초등부1,미술,초등부1:110000/ 초등부2:130000/ 초등부3:170000/ 중등부1:100000/ 중등부2:150000,Y,N,157925,서울특별시 강서구 강서로31길 52,2층 일부 (화곡동),20230226
B10,서울특별시교육청,강서구,교습소,3000042206,삼성수학교습소,20220905,20220905,개원,,,20,5,입시.검정 및 보습,보통교과,,보습,,Y,N,07563,서울특별시 강서구 공항대로59길 42,/ 2층 (등촌동),20230226
B10,서울특별시교육청,강서구,교습소,3000038645,삼성영어공진교실영어교습소,20210319,20210319,개원,,,24,9,입시.검정 및 보습,보통교과,초등(Basic~Inter),보습,초등(Basic~Inter):200000/ 초등(Adv~Prep):220000/ 중등:270000,Y,N,07808,서울특별시 강서구 공항대로 140,/ / 업무시설 2동 201호 (마곡동/ 마곡엠밸리12단지),20230226
B10,서울특별시교육청,강서구,교습소,26700,상상마루미술교습소,20091204,20091204,개원,,,30,5,예능(대),예능(중),초등미술A,미술,초등미술A:110000/ 초등미술B:120000/ 초등미술C:130000/ 초등미술D:150000/ 초등미술E:170000/ 초/중등미술:190000,N,,157862,서울특별시 강서구 양천로 731,외 1필지 염창동동아3차아파트 309동 201-1호 (염창동),20230226
B10,서울특별시교육청,강서구,교습소,3000035745,상상바이올린교습소,20191205,20191205,개원,,,6,3,예능(대),예능(중),,음악,,Y,N,07646,서울특별시 강서구 공항대로38길 57,/ 1층 일부 (내발산동/ 문화빌딩),20230305
B10,서울특별시교육청,강서구,교습소,3000011325,상상키움미술교습소,20110620,20110620,개원,,,36,8,예능(대),예능(중),,미술,아동미술1:90000/ 아동미술2:130000/ 아동미술3:170000/ 소묘수채화1:100000/ 소묘수채화2:140000/ 소묘수채화3:180000/ 수채화(중등):120000/ 수채화(중등):150000,Y,N,157930,서울특별시 강서구 공항대로41길 66,404호 (등촌동),20230226
B10,서울특별시교육청,강서구,교습소,2000007911,새암서예교습소,19971028,19971028,개원,,,9,9,기타(대),기타(중),서예,서예,서예:50000,N,,157853,서울특별시 강서구 개화동로25길 55-5,1층 (방화동),20230226
B10,서울특별시교육청,강서구,교습소,3000018282,새열린피아노음악교습소,20131007,20131007,개원,,,10,5,예능(대),예능(중),바이엘,음악,,Y,N,157280,서울특별시 강서구 공항대로38길 73,/ 2층일부 (내발산동),20230226
B10,서울특별시교육청,강서구,교습소,3000043057,샐리스잉글리쉬(Sally`s English)영어교습소,20230109,20230109,개원,,,6,6,국제화,외국어,,실용외국어(유아/초·중·고),,Y,N,07541,서울특별시 강서구 양천로73길 24,/ 상가동 103호 (염창동/ 염창힐스테이트),20230226
B10,서울특별시교육청,강서구,교습소,3000016118,샘솟는영어교습소,20130109,20130109,개원,,,32,8,입시.검정 및 보습,보통교과,초등영어,보습,,Y,N,157791,서울특별시 강서구 강서로 348,/ 상가1동 317호 (내발산동/우장산힐스테이트),20230226
B10,서울특별시교육청,강서구,교습소,3000043032,생각날개독서논술교습소,20230103,20230103,개원,,,9,9,입시.검정 및 보습,보통교과,,보습·논술,,Y,N,07632,서울특별시 강서구 공항대로36길 103,/ 203호 (내발산동/ 천우네오젠),20230226
B10,서울특별시교육청,강서구,교습소,3000026543,생각의힘에주목하는논술교습소,20160630,20160630,개원,,,17,5,입시.검정 및 보습,보통교과,초등역사/독서논술,보습,초등역사/독서논술:90000/ 중등역사논술:110000/ 중/고등국어논술:140000/ 고등역사논술:140000/ 고등국어논술:210000,Y,N,07749,서울특별시 강서구 곰달래로31가길 84,/ 1층일부 (화곡동),20230226
B10,서울특별시교육청,강서구,교습소,3000038067,생각이반짝수학교습소,20201217,20201217,개원,,,4,4,입시.검정 및 보습,보통교과,,보습,,Y,N,07580,서울특별시 강서구 강서로68길 108,/ 117호 (등촌동/ 등촌동성아파트상가),20230226
B10,서울특별시교육청,강서구,교습소,3000032136,생명나무수학교습소,20180705,20180705,개원,,,12,6,입시.검정 및 보습,보통교과,,보습,,Y,N,07781,서울특별시 강서구 곰달래로 164,/ 3층 (화곡동/ 벽석빌딩),20230226
B10,서울특별시교육청,강서구,교습소,2000008790,샤음악교습소,19990415,19990415,개원,,,72,9,예능(대),예능(중),,음악,바이엘:150000/ 체르니100:160000/ 체르니30:170000/ 체르니40:180000/ 바이엘:130000/ 체르니100:140000/ 체르니30:150000/ 체르니40:160000/ 피아노입시:170000,Y,N,07534,서울특별시 강서구 양천로 507,/ 상가동 304호 일부/ 305호 (가양동/ 강나루현대아파트),20230312
B10,서울특별시교육청,강서구,교습소,708,서당독서논술교습소,20020819,20020819,개원,,,5,5,입시.검정 및 보습,보통교과,초등독서논술,보습·논술,,N,N,157904,서울특별시 강서구 곰달래로31가길 22,1층 일부 (화곡동),20230226
B10,서울특별시교육청,강서구,교습소,3000043178,서울스카이수학교습소,20230130,20230130,개원,,,15,3,입시.검정 및 보습,보통교과,수학(초등),보습,수학(초등):200000/ 수학(중1/2):250000/ 수학(중3):300000/ 수학(고1/2):350000/ 수학(고3):400000,Y,N,07510,서울특별시 강서구 금낭화로 145,/ 204호 (방화동/ 에어뷰21-1오피스텔),20230226
B10,서울특별시교육청,강서구,교습소,13771,서울홍익미술교습소,20060525,20060525,개원,,,8,9,예능(대),예능(중),미술일반1,미술,,Y,N,157867,서울특별시 강서구 까치산로10길 73,성진빌딩 1층 일부 (화곡동),20230226
B10,서울특별시교육청,강서구,교습소,2000009253,서희음악교습소,19990108,19990108,개원,,,49,8,예능(대),예능(중),피아노입시A,음악,피아노입시A:110000/ 피아노입시B:120000/ 피아노입시C:130000/ 피아노입시D:140000/ 피아노입시E:150000/ 플룻입시:80000/ 바이올린입시:80000/ 우쿨렐레입시:50000,Y,N,157884,서울특별시 강서구 가로공원로76길 29,/ 2층 일부 (화곡동/성은교회),20230226
B10,서울특별시교육청,강서구,교습소,3000025003,선진과학교습소,20151221,20151221,개원,,,20,5,입시.검정 및 보습,보통교과,,보습,,Y,N,07639,서울특별시 강서구 강서로45길 34-2,/ 2층 (내발산동),20230226
B10,서울특별시교육청,강서구,교습소,3000026594,성문수학교습소,20160715,20160715,개원,,,35,7,입시.검정 및 보습,보통교과,초등1-3(교과),보습,초등1-3(교과):180000/ 초등4-5(교과/심화):190000/ 초등6(교과/심화):210000/ 중등1(교과):240000/ 중등2-3(교과):270000,Y,N,07746,서울특별시 강서구 곰달래로31가길 11,/ 1층 (화곡동),20230226
B10,서울특별시교육청,강서구,교습소,4753,세명미술교습소,20040510,20040510,개원,,,45,9,예능(대),예능(중),미술(주1회),미술,미술(주1회):70000/ 미술(주2회):110000/ 미술(주3회):140000/ 미술(기초주5회):160000/ 미술(심화주5회):200000,Y,N,07656,서울특별시 강서구 까치산로26길 7,/ 3층일부 (화곡동/ 미래빌딩),20230226
B10,서울특별시교육청,강서구,교습소,3000033705,세종수학교습소,20190215,20190215,개원,,,12,4,입시.검정 및 보습,보통교과,,보습,,Y,N,07639,서울특별시 강서구 강서로47길 19,/ 2층 일부 (내발산동/ 발산시장),20230226
B10,서울특별시교육청,강서구,교습소,3000036924,셈이팡주산교습소,20200521,20200521,개원,,,21,7,기타(대),기타(중),주산1(초등),주산,주산1(초등):110000/ 주산2(초등):130000/ 주산3(초등):150000,Y,N,07807,서울특별시 강서구 마곡중앙로 59-21,/ 424호 (마곡동/ 에이스타워2),20230226
B10,서울특별시교육청,강서구,교습소,3000011113,소담스쿨수학교습소,20110520,20110520,개원,,,10,2,입시.검정 및 보습,보통교과,초등수학A(1/2학년),보습,초등수학A(1/2학년):140000/ 초등수학B:160000/ 중등수학A:200000/ 중등수학B:240000/ 고등수학:83000,Y,N,07610,서울특별시 강서구 양천로14길 118,/ 201호 일부 (방화동/ 방화3차우림필유 상가동),20230226
B10,서울특별시교육청,강서구,교습소,3000011320,소담피아노교습소,20110613,20110613,개원,,,12,4,예능(대),예능(중),바이엘,음악,바이엘:130000/ 체르니100:140000/ 체르니30:150000,Y,N,157798,서울특별시 강서구 양천로69길 58 ,외 1필지 염창동아아파트 상가 204호 (염창동),20230226
B10,서울특별시교육청,강서구,교습소,3000043401,소리숲피아노교습소,20230228,20230228,개원,,,20,5,예능(대),예능(중),,음악,,Y,N,07697,서울특별시 강서구 화곡로31다길 20,/ 상가B동 204호 (화곡동),20230305
B10,서울특별시교육청,강서구,교습소,3000038206,손샘사회교습소,20210111,20210111,개원,,,15,3,입시.검정 및 보습,보통교과,,보습,,Y,N,07669,서울특별시 강서구 등촌로39나길 5,/ 동원베르사체 101호 일부 (등촌동),20230226
B10,서울특별시교육청,강서구,교습소,3000017307,손샘수학교습소,20130521,20130521,개원,,,18,7,입시.검정 및 보습,보통교과,초등(수학),보습,초등(수학):198000/ 중등(수학):215000/ 고등(수학):290000,Y,N,07681,서울특별시 강서구 강서로48길 21,/ 1층 일부 (내발산동),20230226
B10,서울특별시교육청,강서구,교습소,3000027012,솔루션수학교습소,20160831,20160831,개원,,,30,3,입시.검정 및 보습,보통교과,초등수학A,보습,초등수학A:150000/ 초등수학B:200000/ 중등수학1:270000/ 중등수학2:290000/ 중등수학3:310000/ 고등수학1:370000/ 고등수학2:390000/ 고등수학3:410000/ 고등수학A:430000/ 고등수학B:450000,Y,N,07741,서울특별시 강서구 등촌로 61,/ 3층 (화곡동),20230226
B10,서울특별시교육청,강서구,교습소,3000026593,솔빛수학교습소,20160711,20160711,개원,,,42,7,입시.검정 및 보습,보통교과,초등A,보습,초등A:130000/ 초등B:170000/ 중등A:250000/ 중등B:270000/ 고등A:300000/ 고등B:320000,Y,N,07703,서울특별시 강서구 화곡로13길 107,/ 제상가에이 203호 (화곡동/ 화곡푸르지오),20230226
B10,서울특별시교육청,강서구,교습소,3000042164,송화스마트해법수학교습소,20220825,20220825,개원,,,8,4,입시.검정 및 보습,보통교과,,보습,,Y,N,07599,서울특별시 강서구 방화대로 294,/ 120호 일부 (마곡동/ 마곡더블유타워),20230226
B10,서울특별시교육청,강서구,교습소,3000013666,쇼팽과피아노음악교습소,20120319,20120319,개원,,,20,5,예능(대),예능(중),바이엘,음악,바이엘:110000/ 체르니100:120000/ 체르니30:130000/ 체르니40:140000,Y,N,157010,서울특별시 강서구 까치산로4길 67-9,/ 1층 (화곡동),20230226
B10,서울특별시교육청,강서구,교습소,2000007770,쇼팽피아노음악교습소,20010718,20010718,개원,,,40,5,예능(대),예능(중),기초바이엘(초등)주5회,음악,기초바이엘(초등)주5회:140000/ 기초바이엘(초등)주3회:120000/ 중급체르니100(초등)주5회:150000/ 중급체르니100(초등)주3회:130000/ 중급체르니30(초/중등)주5회:160000/ 중급체르니30(초/중등)주3회:150000/ 입시고급작품반(초/중등)주3회:160000/ 입시고급작품반(초/중/고등)주5회:180000,Y,N,157763,서울특별시 강서구 강서로56나길 41,등촌3단지주공아파트 상가동 2층 201호 (등촌동),20230226
B10,서울특별시교육청,강서구,교습소,3000035348,수(Soo)영어교습소,20191014,20191014,개원,,,21,7,입시.검정 및 보습,보통교과,,보습,,Y,N,07801,서울특별시 강서구 마곡중앙6로 21,/ 608호 (마곡동/ 이너매스 마곡),20230226
B10,서울특별시교육청,강서구,교습소,30427,수명고운소리음악교습소,20101119,20101119,개원,,,5,5,예능(대),예능(중),,음악,,N,N,07642,서울특별시 강서구 수명로2가길 22,/ 상가동 202호 (내발산동/ 마곡수명산파크7단지아파트),20230226
B10,서울특별시교육청,강서구,교습소,3000013437,수명미술교습소,20120229,20120229,개원,,,54,9,예능(대),예능(중),초등미술1,미술,초등미술1:100000/ 초등미술2:120000/ 초등미술3:140000/ 초등미술4:160000/ 중.고등미술(입시):600000/ 중등수행:120000,Y,N,07635,서울특별시 강서구 수명로 82,/ 201-2호 (내발산동/ 발산로얄타워),20230312
B10,서울특별시교육청,강서구,교습소,2000010178,수미피아노교습소,19860502,19860502,개원,,,5,5,예능(대),예능(중),피아노,음악,,Y,N,07766,서울특별시 강서구 강서로17길 130,/ 1층 일부 (화곡동),20230226
B10,서울특별시교육청,강서구,교습소,3000032465,수쌤창의사고력수학교습소,20180822,20180822,개원,,,42,7,입시.검정 및 보습,보통교과,창의수학(초등저학년),보습,창의수학(초등저학년):70000/ 사고력수학(초등저학년):100000/ 사고력수학(초등고학년):120000/ 사고력수학(초등고학년):150000/ 초등교과수학(초등고학년):180000/ 초등교과수학(초등고학년):200000,Y,N,07635,서울특별시 강서구 수명로 80,/ 404호 (내발산동/ 베스트프라자빌딩),20230226
B10,서울특별시교육청,강서구,교습소,3000014997,수정음악교습소,20120808,20120808,개원,,,25,5,예능(대),예능(중),,음악,피아노초급:140000/ 플룻:170000/ 바이올린:170000/ 피아노중급:150000/ 피아노고급:160000/ 바이올린고급:170000/ 플룻초급:150000/ 플룻중급:160000/ 플룻고급:170000,Y,N,07536,서울특별시 강서구 양천로69길 58,/ 상가 301호 일부 (염창동/ 염창동아아파트),20230226
B10,서울특별시교육청,강서구,교습소,3000040808,수풀수학교습소,20220207,20220207,개원,,,9,3,입시.검정 및 보습,보통교과,,보습,,Y,N,07544,서울특별시 강서구 양천로 637,/ 202호 (염창동/ 한마음삼성아파트 상가동),20230226
B10,서울특별시교육청,강서구,교습소,3000022454,수학더올림수학교습소,20150223,20150223,개원,,,4,4,입시.검정 및 보습,보통교과,,보습,,Y,N,157861,서울특별시 강서구 양천로 663-1,/ 나호 2층 (염창동/ 성지교회),20230226
B10,서울특별시교육청,강서구,교습소,26903,수학디엔에이수학교습소,20091215,20091215,개원,,,10,5,입시.검정 및 보습,보통교과,,보습,,N,,157930,서울특별시 강서구 공항대로41길 65,3층 302호 (등촌동),20230226
B10,서울특별시교육청,강서구,교습소,3000041453,수학스토리수학교습소,20220516,20220516,개원,,,40,5,입시.검정 및 보습,보통교과,초등수학1,보습,초등수학1:190000/ 초등수학2:140000/ 초등수학3:210000/ 초등창의사고력수학:85000/ 중등수학1:280000/ 중등수학2:295000/ 중등수학3:205000/ 중등수학4:250000,Y,N,07739,서울특별시 강서구 등촌로13다길 32-25,/ 1층 일부 (화곡동),20230226
B10,서울특별시교육청,강서구,교습소,3000039582,수학은채쌤수학교습소,20210811,20210811,개원,,,72,8,입시.검정 및 보습,보통교과,중등수학A,보습,중등수학A:320000/ 중등수학B:340000/ 중등수학C:340000/ 중등수학D:300000/ 고등수학A:370000/ 고등수학B:350000/ 고등수학C:360000/ 고등수학D:420000/ 고등수학E:390000,Y,N,07600,서울특별시 강서구 공항대로 103,/ 301호 (마곡동/ 마곡 엠밸리 9단지 업무시설동),20230312
B10,서울특별시교육청,강서구,교습소,3000019911,수학의달인내발산초점수학교습소,20140422,20140422,개원,,,24,4,입시.검정 및 보습,보통교과,수학초등A,보습,수학초등A:240000/ 수학초등B:160000/ 수학초등C:300000/ 수학초등D:200000/ 수학중등A:300000/ 수학중등B:380000,Y,N,07681,서울특별시 강서구 우장산로2길 9,/ 1층 일부 (내발산동),20230226
B10,서울특별시교육청,강서구,교습소,3000037329,수학하다수학교습소,20200812,20200812,개원,,,49,7,입시.검정 및 보습,보통교과,초등수학A(3~4),보습,초등수학A(3~4):200000/ 초등수학A(5~6):230000/ 고등수학:340000/ 초등수학B(3~4):120000/ 초등수학B(5~6):140000/ 중등수학A(1~3):250000/ 중등수학B(1~3):300000,Y,N,07807,서울특별시 강서구 마곡중앙1로 20,/ 321호 (마곡동/ 마곡M시그니처),20230226
B10,서울특별시교육청,강서구,교습소,3000021632,숙명더음악교습소,20141117,20141114,개원,,,25,5,예능(대),예능(중),바이엘,음악,바이엘:110000/ 체르니100:120000/ 체르니30:130000/ 체르니40:140000/ 피아노작품:150000,Y,N,157791,서울특별시 강서구 강서로 348,/ 1-216 (내발산동/ 우장산힐스테이트),20230226
B10,서울특별시교육청,강서구,교습소,3000039930,숙명린피아노음악교습소,20160304,20160304,개원,,,32,4,예능(대),예능(중),피아노초급A(초등입시),음악,피아노초급A(초등입시):130000/ 피아노초급B(초등입시):150000/ 피아노초급C(초등입시):180000/ 피아노초급D(고등일반):130000/ 피아노초급E(고등입시):200000/ 피아노초급F(초등일반):140000/ 피아노고급A(중고등입시):150000/ 융합예술(초등일반):20000,Y,N,07736,서울특별시 강서구 등촌로13자길 39,/ 1층 일부 (화곡동),20230226
B10,서울특별시교육청,강서구,교습소,19147,슈만음악교습소,20071224,20071224,개원,,,20,5,예능(대),예능(중),,음악,피아노(초급):130000/ 피아노(초·중급):150000/ 피아노입시(중급):160000/ 피아노입시(고급):170000/ 우쿠렐레상급(초등):30000,Y,N,157898,서울특별시 강서구 등촌로5가길 23,1층 일부 (화곡동),20230319
B10,서울특별시교육청,강서구,교습소,3000025725,슈퍼매스수학교습소,20160317,20160317,개원,,,12,6,입시.검정 및 보습,보통교과,초등수학,보습,,Y,N,07524,서울특별시 강서구 허준로 47,/ 가양도시개발공사아파트 상가2층 201호 (가양동/ 가양2단지아파트),20230226
B10,서울특별시교육청,강서구,교습소,3000043509,스마일잉글리쉬영어교습소,20230313,20230313,개원,,,63,9,입시.검정 및 보습,보통교과,,보습,,Y,N,07587,서울특별시 강서구 공항대로41길 66,/ 507-1호 (등촌동/ 세신등촌종합상가),20230319
B10,서울특별시교육청,강서구,교습소,3000035514,스마트해법수학마곡연세수학교습소,20191105,20191105,개원,,,25,5,입시.검정 및 보습,보통교과,,보습,초등A:200000/ 초등B:220000/ 중등A:250000/ 중등B:334000/ 고등:343000/ 고등수학2:350000/ 초등A:200000,Y,N,07597,서울특별시 강서구 방화대로34길 57,/ 3층 (방화동),20230226
B10,서울특별시교육청,강서구,교습소,3000040931,스마트해법수학염창점수학교습소,20220225,20220225,개원,,,24,6,입시.검정 및 보습,보통교과,,보습,,Y,N,07535,서울특별시 강서구 양천로67길 77,/ 203호 (염창동/ 우성1차아파트 상가),20230226
B10,서울특별시교육청,강서구,교습소,3000036470,스카이뮤직(Sky Music)음악교습소,20200304,20200304,개원,,,13,4,예능(대),예능(중),,음악,피아노바이엘(초등부):130000/ 피아노체르니100(초등부):140000/ 피아노체르니30(초등부):150000/ 플룻입시(중등부):120000/ 플룻초급:100000/ 플룻중급:110000/ 우쿨렐레초급:30000/ 우쿨렐레중급:40000,Y,N,07690,서울특별시 강서구 우현로 16,/ 1층 일부 (화곡동/ 주경빌딩),20230226
B10,서울특별시교육청,강서구,교습소,3000012921,스톤즈영어교습소,20111228,20111228,개원,,,18,9,입시.검정 및 보습,보통교과,중등영어,보습,중등영어:290000/ 고등영어:320000,Y,N,157773,서울특별시 강서구 화곡로13길 107,/ 화곡푸르지오 상가에이동 204호 (화곡동/화곡푸르지오),20230226
B10,서울특별시교육청,강서구,교습소,3000042572,시시로미술교습소,20221107,20221107,개원,,,32,8,예능(대),예능(중),,미술,,Y,N,07723,서울특별시 강서구 초록마을로18길 20,/ 101호 (화곡동/ 뉴타워빌),20230226
