NODE_ID,ARS_ID,정류소명,X좌표,Y좌표,on_bus,off_bus
100000001,1001,종로2가사거리,126.9877499,37.56976513,117.09146341463415,110.20731707317073
100000002,1002,창경궁.서울대학교병원,126.996566,37.57918302,131.8676056338028,119.37464788732395
100000003,1003,명륜3가.성대입구,126.9983401,37.58267117,209.8989501312336,145.08136482939634
100000004,1004,종로2가.삼일교,126.9876131,37.56857927,94.82229965156795,113.44250871080139
100000005,1005,혜화동로터리.여운형활동터,127.001744,37.586243,91.39290780141845,139.0
101000305,1006,서대문역사거리,126.966893,37.566137,184.67481662591686,100.1882640586797
100000380,1007,서울역사박물관.경희궁앞,126.97038,37.569135,122.81414994720168,140.6673706441394
100000379,1008,서울역사박물관.경희궁앞,126.970609,37.569412,139.96798493408662,114.97175141242938
100000384,1009,광화문,126.976093,37.57023752,190.7578947368421,181.73026315789474
100000385,1010,광화문,126.9780855,37.57021681,158.9959349593496,161.0569105691057
100000386,1011,종로1가,126.9810661,37.57014825,206.44635761589404,182.38278145695364
100000387,1012,종로1가,126.9813906,37.57022903,180.23166023166024,178.23552123552125
100000388,1013,종로2가,126.9855427,37.57013868,143.6720890410959,110.53681506849315
100000389,1014,종로2가,126.9862475,37.5702572,156.79489361702127,133.18808510638297
100000390,1015,종로3가.탑골공원,126.9895647,37.57024498,181.87462686567164,108.4497512437811
100000391,1016,종로3가.탑골공원,126.9899878,37.57036054,126.33794466403162,156.65711462450594
100000392,1017,종로4가.종묘,126.9947219,37.570507,76.72992700729927,72.31386861313868
100000393,1018,종로4가.종묘,126.9952838,37.57062711,53.709429824561404,114.9967105263158
100000394,1019,종로5가.광장시장,126.9988498,37.57075679,146.20639534883722,151.93023255813952
100000395,1020,종로5가.광장시장,126.9993346,37.57088063,135.53120464441218,132.90711175616835
100000396,1021,종로6가.동대문종합시장,127.0047701,37.57092208,183.6054519368723,97.59827833572453
100000397,1022,종로6가.동대문종합시장,127.0057137,37.57112723,116.09620596205961,170.8252032520325
100000398,1023,동대문역.흥인지문,127.0134512,37.57230232,197.6698275862069,148.15775862068966
100000365,1037,동대문(흥인지문),127.0120461,37.57195293,112.74525745257452,153.78139114724482
100000366,1041,동묘앞,127.0184085,37.57377866,102.15317073170732,60.14341463414634
100000367,1044,동묘앞,127.019672,37.57424345,99.64363030807661,114.8284762697752
100000006,1101,경기상고,126.9693635,37.58755022,130.85365853658536,55.34959349593496
100000007,1102,신교동,126.9702627,37.58329552,194.1991869918699,70.72357723577235
100000008,1103,경기상고,126.9697701,37.58719079,42.84552845528455,122.32520325203252
100000009,1104,경복고교,126.9710437,37.58511319,109.2439024390244,79.3739837398374
100000010,1105,청운중학교,126.9725135,37.58785196,17.260162601626018,33.0
100000011,1106,자하문고개.윤동주문학관,126.9671262,37.59218662,156.9430894308943,31.235772357723576
100000012,1107,자하문고개.윤동주문학관,126.9671907,37.59233532,23.349593495934958,165.5528455284553
100000013,1108,청운중학교,126.9724613,37.58812858,25.178861788617887,54.60162601626016
100000014,1109,경복고교,126.9711547,37.58496634,70.92682926829268,116.69918699186992
100000015,1110,통인시장종로구보건소,126.97105,37.5803257,168.9471544715447,197.53252032520325
100000016,1111,통인시장종로구보건소,126.9713851,37.58051321,86.5,160.10162601626016
100000017,1112,효자동,126.970621,37.58309104,52.98780487804878,143.1869918699187
100000018,1113,사직단.어린이도서관,126.9679907,37.57513553,164.35772357723576,82.6219512195122
100000019,1114,사직동주민센터,126.9713245,37.57618346,512.1422764227642,260.1666666666667
100000020,1115,경복궁역,126.972196,37.57686669,192.26829268292684,550.6271777003484
100000021,1116,경복궁역,126.9722829,37.57767139,590.2560975609756,223.9308943089431
100000022,1117,경복궁,126.9787471,37.57557679,99.59343434343434,173.0050505050505
100000023,1118,KT광화문지사,126.9773321,37.57222644,361.8612716763006,100.84200385356455
100000415,1119,국립고궁박물관,126.9740463,37.57879663,45.170731707317074,154.0731707317073
100000025,1120,광화문,126.9763839,37.5698454,176.98701298701297,129.9047619047619
100000028,1123,서울역사박물관.경교장.강북삼성병원,126.971248,37.570023,109.74311926605505,110.25688073394495
100000029,1124,광화문.금호아시아나본관앞,126.9731336,37.57028804,76.14634146341463,157.78048780487805
100000030,1125,광화문,126.975837,37.570365,65.48780487804878,13.317073170731707
100000031,1126,세종문화회관,126.9768571,37.57359001,130.46080305927342,236.07265774378584
100000032,1127,서울경찰청.경복궁역,126.9714843,37.57574466,176.3689024390244,316.6280487804878
100000033,1128,사직단,126.968189,37.57485535,71.78484848484848,227.8151515151515
100000034,1129,광화문.광화문빌딩,126.9766885,37.56968761,49.724137931034484,69.26108374384236
100000035,1130,덕성여중고,126.982017,37.57590175,131.00554016620498,107.39058171745152
100000036,1131,안국역.서울공예박물관,126.9839958,37.57606956,210.1216216216216,171.981981981982
100000037,1132,국민은행세검정지점,126.960888,37.60466298,93.34756097560975,65.8780487804878
100000038,1133,세검정초등학교,126.9612198,37.60250228,172.15331010452962,81.2787456445993
100000039,1134,세검정.상명대,126.9587224,37.6007326,131.4227642276423,72.00813008130082
100000040,1135,상명대입구.석파랑,126.9585702,37.59941335,57.13008130081301,34.9349593495935
100000041,1136,하림각,126.9617068,37.59813307,97.8780487804878,38.836236933797906
100000042,1137,자하문터널입구.석파정,126.9636435,37.59559351,101.0650406504065,39.49593495934959
100000043,1138,부암동주민센터.무계원,126.9639574,37.59273806,157.97560975609755,82.04065040650407
100000044,1139,부암동주민센터.무계원,126.9651419,37.59278617,61.02439024390244,147.260162601626
