횡단보도ID,교차로,신호등,학교위치,불법주정차수,무인단속카메라,표지판,스마트횡단보도,지하철승하차,버스승하차,카페수,위험지수,사고건수,학원수
06-0000049976,1,1,1,0.145205479,0,1,0,482.2591453,5.39941928,4,2,20,0
06-0000026046,0,0,0,0,0,0,0,602.8239316,3.820271003,1,0,2,0
06-0000012159,1,1,1,0.410958904,0,31,0,241.1295727,19.78211382,11,1,6,0
06-0000013533,0,0,1,1.410958904,0,0,0,1755.613675,4.298842975,4,2,15,0
06-0000011836,1,0,1,0.528767123,1,0,0,1404.49094,2.078699187,5,2,8,0
06-0000012173,1,1,1,0.052054795,0,46,0,361.694359,9.810211382,10,0,2,1
06-0000013447,1,0,1,0.145205479,0,0,0,482.2591453,4.319535424,3,2,21,0
06-0000022979,1,0,1,0.598630137,1,0,0,1404.49094,2.078699187,6,1,6,0
06-0000045316,1,1,1,0.410958904,0,3,0,241.1295727,19.78211382,11,2,7,0
06-0000026685,1,1,1,0.052054795,0,4,0,361.694359,9.810211382,9,0,2,1
06-0000012172,1,1,1,0.052054795,0,33,0,361.694359,9.810211382,9,1,3,1
06-0000026683,1,1,1,0.052054795,0,6,0,361.694359,9.810211382,10,0,2,1
06-0000013534,0,0,1,1.024657534,0,0,0,1755.613675,5.373553719,3,2,14,0
06-0000025505,0,0,1,0,0,0,0,539.6230769,4.973658537,1,0,1,4
06-0000012122,0,0,0,0.209589041,0,0,0,713.1148718,9.397235772,1,2,9,0
06-0000036770,0,0,0,0.209589041,0,0,0,713.1148718,9.397235772,1,2,9,0
06-0000049628,1,0,1,0,0,0,0,602.8239316,5.363902439,5,1,3,0
06-0000012170,1,1,1,0.052054795,0,36,0,361.694359,9.810211382,10,0,2,1
06-0000012169,1,1,1,0.052054795,0,19,0,361.694359,15.51414634,9,0,2,1
06-0000026684,1,1,1,0.052054795,0,27,0,361.694359,9.810211382,10,0,2,1
06-0000015734,1,0,1,0.98630137,0,0,0,1755.613675,4.298842975,6,2,38,0
06-0000027003,1,0,1,0.25890411,0,0,0,361.694359,9.810211382,3,0,2,1
06-0000013446,1,1,1,0.145205479,0,2,0,482.2591453,3.055284553,3,2,18,0
06-0000050949,0,0,1,0,0,0,0,539.6230769,6.217073171,2,0,2,5
06-0000011837,1,1,1,0.453424658,1,12,0,1404.49094,2.078699187,5,2,8,2
06-0000012171,1,1,1,0.052054795,0,44,0,361.694359,15.51414634,9,0,2,1
06-0000049629,1,0,1,0,0,0,0,602.8239316,5.363902439,8,1,5,0
06-0000049626,1,0,1,0,1,0,0,602.8239316,5.363902439,6,0,2,0
06-0000013529,1,1,1,2.067123288,0,2,0,1755.613675,11.35030303,4,2,39,0
06-0000026032,0,0,0,0.054794521,1,0,0,482.2591453,2.082073171,1,0,0,0
06-0000049627,1,0,1,0,1,0,0,602.8239316,5.363902439,8,2,7,0
06-0000040778,0,0,0,0.050684932,0,0,0,1404.49094,1.771805158,0,0,0,0
06-0000036880,0,0,1,0.17260274,0,0,0,713.1148718,9.397235772,1,2,7,0
06-0000013531,1,1,1,2.067123288,0,2,0,1755.613675,4.298842975,4,2,41,0
06-0000012166,0,0,0,0.320547945,0,0,0,361.694359,3.055284553,4,0,2,2
06-0000013465,0,0,1,0.04109589,1,0,0,602.8239316,7.37703252,1,1,5,0
06-0000013448,1,1,1,0.206849315,0,3,0,482.2591453,2.443739837,4,1,6,0
