crosswalk_id,bus,on_bus,off_bus,distance
06-0000027408,우성아파트,60.29268292682927,94.1219512195122,1.1313028255170614
06-0000011417,롯데1차,136.14634146341464,102.4390243902439,1.461393940512157
06-0000049501,벽산아파트,1.0,210.8292682926829,1.9428473345875084
06-0000012073,화곡초교,22.47560975609756,17.585365853658537,3.135898129030996
06-0000012871,선교교회,9.634146341463415,22.60975609756097,3.1866108125078765
06-0000037239,하나마트,33.75609756097561,15.914634146341465,3.231915415647327
06-0000012102,강서힐스테이트아파트,163.65853658536585,73.39024390243902,3.4736450949876647
06-0000003237,까치시장,2.097560975609756,148.0,3.5695041504830796
06-0000050954,등촌6단지,160.09756097560975,60.63414634146341,3.8469052343964414
06-0000013674,등촌중학교.백석초등학교,59.00731707317073,106.1780487804878,4.036026856343798
06-0000028078,하나마트,33.75609756097561,15.914634146341465,4.04254497216833
06-0000049494,변전소,3.463414634146341,67.3170731707317,4.720798684715701
06-0000027409,우성아파트앞,112.51219512195122,56.65853658536585,5.046315324157099
06-0000050955,등촌미주.진로아파트,55.90243902439025,127.36585365853658,5.077994390986816
06-0000048567,발산역3번출구,219.02439024390245,264.7560975609756,5.211887832832301
06-0000050949,강서노인회관,82.46341463414635,104.04878048780488,5.334092132284249
06-0000003638,가양역.현대아파트,30.495934959349597,96.88617886178862,6.302352771861047
06-0000013059,공항동주민센터,14.841463414634148,50.707317073170735,6.755537701500618
06-0000024550,다솔마을.강서농수산물도매시장,55.26829268292683,83.3170731707317,7.351519605377399
06-0000013500,까치산역1번출구,1465.2926829268292,579.829268292683,7.537178281615694
06-0000027833,강서구청별관,87.84552845528455,17.024390243902438,7.595468729210929
06-0000003624,국민약국,10.024390243902438,62.90243902439025,7.600669567671467
06-0000033813,경복비즈니스고등학교,95.0060975609756,236.359756097561,7.630762421480355
06-0000028818,수명산파크7단지정문,4.7073170731707314,219.9512195121951,7.717354825384486
06-0000003593,등촌강변샤르망오피스텔,15.268292682926829,77.6829268292683,7.778833572992419
06-0000034361,발산역7번출구,46.05691056910569,25.821138211382117,7.798651069900412
06-0000013465,양천초등학교.겸재정선미술관,152.6158536585366,68.6951219512195,7.830446517178636
06-0000011869,염창역.서울도시가스,125.9167862266858,171.0573888091822,8.149102120659187
06-0000013636,방화사거리,13.867052023121389,28.40751445086705,8.377506933227949
06-0000013008,SK브로드밴드강서방송,99.1951219512195,49.45121951219512,8.487989391888648
06-0000027789,공항중학교,20.914634146341463,28.46951219512195,8.568077911261838
06-0000013511,정곡초교,0.3902439024390244,19.26829268292683,8.6318520951341
06-0000045427,방화2동청성아파트,6.158940397350993,28.350993377483444,8.637385393625673
06-0000013010,골목시장,53.9390243902439,41.84146341463415,8.964780422650884
06-0000024635,롯데1차,136.14634146341464,102.4390243902439,9.363173204162646
06-0000013359,하이웨이주유소,71.4390243902439,98.4390243902439,9.48247213217931
06-0000012068,우장산휴먼빌아파트,151.65853658536585,72.02439024390245,9.484643810103405
06-0000024634,롯데1차,136.14634146341464,102.4390243902439,9.768950576401542
06-0000037736,가양역.현대아파트,30.495934959349597,96.88617886178862,9.770548880523375
06-0000013147,등촌주공9단지,36.34146341463415,13.804878048780488,9.80265745875242
06-0000027410,우성아파트앞,112.51219512195122,56.65853658536585,10.000274828745024
06-0000031753,등촌7단지,222.85365853658536,147.0,10.004082634505053
06-0000012063,하나마트,17.317073170731707,71.73170731707317,10.006015522927667
06-0000028077,하나마트,17.317073170731707,71.73170731707317,10.031895710680931
06-0000012639,우장산동주민센터,58.14634146341464,124.29268292682929,10.088293069281232
06-0000020419,우장산휴먼빌아파트,151.65853658536585,72.02439024390245,10.51096731168106
06-0000013695,볏골어린이공원,46.707317073170735,322.5243902439024,10.716511783942302
06-0000012069,문성유치원,89.3170731707317,137.29268292682926,10.833126468225197
06-0000040292,방화4단지,0.2926829268292683,33.34146341463415,10.947171141844944
06-0000012164,발산역.NC백화점,100.36585365853658,481.4146341463415,11.043306279770645
06-0000049500,벽산아파트,287.7560975609756,0.951219512195122,11.087269045021213
06-0000024780,화곡초교,41.8780487804878,28.48780487804878,11.20914979363356
06-0000029537,발산어린이집,96.02439024390245,133.65853658536585,11.272279496964638
06-0000027417,염창중학교,57.78048780487805,137.58536585365854,11.686986514529478
06-0000033828,화곡2동주민센터,126.53658536585364,137.30243902439025,11.708361589497205
06-0000025514,대일고교.임광아파트.배광교회,80.96829268292683,109.46341463414636,11.805980692480876
06-0000024648,강서구청입구,345.0243902439024,373.0,11.90424327230606
06-0000027774,덕원여자고등학교.덕원예술고등학교,25.02439024390244,78.58536585365853,12.279108039458038
06-0000003626,곰달래약국,22.0,43.5609756097561,12.30002569207183
06-0000013152,천주교성당,226.4878048780488,15.78048780487805,12.50190511031753
06-0000013694,화곡역.현대주유소,164.09534368070953,127.2261640798226,12.570065951707766
06-0000014502,등현초등학교,26.170731707317078,12.878048780487806,12.708281991586327
06-0000027775,발산초등학교,72.02439024390245,56.26829268292683,12.735591753335363
06-0000034379,방신시장.LG베스트샵,8.731707317073171,2.609756097560976,12.953340208757078
06-0000013142,등촌주공6단지,23.0,8.463414634146341,13.024422060760909
06-0000013052,서광아파트,0.3414634146341463,30.0,13.040681560076939
06-0000027420,동아1.2차아파트,160.02439024390245,231.90243902439025,13.351115845113965
06-0000024641,우장산월드메르디앙아파트,162.46341463414635,132.7560975609756,13.381861783581773
06-0000015668,하나마트,17.317073170731707,71.73170731707317,13.384477104171696
06-0000041173,강서세무서,15.19915254237288,68.45762711864407,13.484463219529413
